model_type,vectorizer_num_features,semi_supervised,samples,dummy_train_accuracy,dummy_test_accuracy,train_accuracy,test_accuracy,run_time
MultinomialNB,100,False,31000,0.4048579078094255,0.3970976253298153,0.9092932486048837,0.9047493403693931,0.094007
MultinomialNB,100,False,32000,0.40514358926283556,0.39729551451187334,0.9090028436611356,0.9048153034300792,0.088979
MultinomialNB,100,False,33000,0.4055028635495894,0.39729551451187334,0.9090330596042544,0.9048153034300792,0.083999
MultinomialNB,100,False,34000,0.407723302255816,0.3976912928759894,0.9095908943854593,0.9050131926121372,0.088995
MultinomialNB,100,False,35000,0.40427416359532586,0.3971635883905013,0.9095740121710808,0.9048153034300792,0.091
MultinomialNB,100,False,36000,0.40637760062220496,0.39775725593667544,0.9095580678314491,0.9047493403693931,0.092
MultinomialNB,100,False,37000,0.4059890273235858,0.39742744063324537,0.9089213805032297,0.904551451187335,0.093004
MultinomialNB,100,False,38000,0.40777874266466674,0.39689973614775725,0.9086602984131996,0.9048153034300792,0.097005
MultinomialNB,100,False,39000,0.4088356708802338,0.39696569920844327,0.9084638855413963,0.9052110817941953,0.103999
MultinomialNB,100,False,40000,0.40753981150471236,0.39696569920844327,0.9077523061923451,0.9043535620052771,0.103015
MultinomialNB,100,False,41000,0.4054779151728007,0.3971635883905013,0.9086363747225678,0.9047493403693931,0.110026
MultinomialNB,100,False,42000,0.4076331515916288,0.3972295514511873,0.9088116949596439,0.9050131926121372,0.111005
MultinomialNB,100,False,43000,0.4072463431082998,0.3967678100263852,0.9087928187716565,0.9050131926121372,0.106983
MultinomialNB,100,False,44000,0.40751346560305446,0.3971635883905013,0.9084793527419831,0.9046833773087071,0.114001
MultinomialNB,100,False,45000,0.4035688095820093,0.3970976253298153,0.9084909224239461,0.9047493403693931,0.110004
MultinomialNB,100,False,46000,0.4070346296819634,0.39729551451187334,0.9083498184822069,0.9050131926121372,0.115004
MultinomialNB,100,False,47000,0.4066296461777409,0.3972295514511873,0.9082147188357694,0.9047493403693931,0.133982
MultinomialNB,100,False,48000,0.404970729776463,0.3972295514511873,0.9083352430157705,0.9048812664907652,0.122006
MultinomialNB,100,False,49000,0.4075631109569193,0.3971635883905013,0.9084712556886594,0.9048812664907652,0.124998
MultinomialNB,100,False,50000,0.40535189296214075,0.39729551451187334,0.9081818363632728,0.9046174142480211,0.128999
MultinomialNB,100,False,51000,0.40740377639654124,0.3970316622691293,0.9079037665928119,0.9044854881266491,0.126005
MultinomialNB,100,False,52000,0.40372300532682065,0.3970316622691293,0.9078286956020076,0.9046833773087071,0.131001
MultinomialNB,100,False,53000,0.40370936397426466,0.3972295514511873,0.9079073979736232,0.9050131926121372,0.132001
MultinomialNB,100,False,53531,0.40569016084138165,0.3970316622691293,0.9077543853094469,0.9050791556728233,0.136003
LinearSVC,100,False,250,0.3346613545816733,0.36998680738786277,0.9880478087649402,0.8780343007915568,0.003001
LinearSVC,100,False,500,0.36726546906187624,0.38476253298153035,0.9660678642714571,0.9031002638522427,0.003
LinearSVC,100,False,750,0.37283621837549935,0.3883905013192612,0.948069241011984,0.9052110817941953,0.004
LinearSVC,100,False,1000,0.37962037962037964,0.3867414248021108,0.948051948051948,0.9095646437994723,0.005
LinearSVC,100,False,2000,0.3828085957021489,0.383509234828496,0.9370314842578711,0.9134564643799472,0.009
LinearSVC,100,False,3000,0.39820059980006667,0.38773087071240103,0.9326891036321227,0.9151715039577837,0.015019
LinearSVC,100,False,4000,0.3911522119470133,0.38905013192612137,0.9310172456885779,0.9165567282321899,0.019015
LinearSVC,100,False,5000,0.40851829634073183,0.39313984168865435,0.9298140371925615,0.9175461741424802,0.024997
LinearSVC,100,False,6000,0.4024329278453591,0.3924142480211082,0.930178303616064,0.9187994722955145,0.028976
LinearSVC,100,False,7000,0.3960862733895158,0.39313984168865435,0.9308670189972861,0.9173482849604222,0.033988
LinearSVC,100,False,8000,0.39657542807149104,0.39267810026385225,0.9288838895138107,0.9171503957783641,0.037002
LinearSVC,100,False,9000,0.39495611598711255,0.39307387862796833,0.9283412954116209,0.9181398416886544,0.041015
LinearSVC,100,False,10000,0.39676032396760325,0.39313984168865435,0.927007299270073,0.9171503957783641,0.045999
LinearSVC,100,False,11000,0.4018725570402691,0.3939973614775726,0.9273702390691755,0.9174802110817942,0.051001
LinearSVC,100,False,12000,0.3988000999916674,0.3954485488126649,0.9273393883843013,0.9182058047493403,0.056001
LinearSVC,100,False,13000,0.4001230674563495,0.39478891820580475,0.9270825321129144,0.9189313984168865,0.061005
LinearSVC,100,False,14000,0.3962574101849868,0.3946569920844327,0.927076637383044,0.9182717678100264,0.066986
LinearSVC,100,False,15000,0.39730684621025264,0.3944591029023747,0.9278048130124659,0.9189973614775726,0.069986
LinearSVC,100,False,16000,0.4005999625023436,0.3940633245382586,0.9266920817448909,0.9176781002638522,0.079011
LinearSVC,100,False,17000,0.3974472089877066,0.3939973614775726,0.9259455326157285,0.9179419525065963,0.084
LinearSVC,100,False,18000,0.3992555969112827,0.3961741424802111,0.9266151880451086,0.9187335092348285,0.082018
LinearSVC,100,False,19000,0.4007157518025367,0.3955145118733509,0.9271617283300879,0.9191952506596306,0.087001
LinearSVC,100,False,20000,0.4011299435028249,0.39630606860158313,0.927503624818759,0.9185356200527705,0.094005
LinearSVC,100,False,21000,0.399742869387172,0.39683377308707124,0.9272415599257178,0.9180738786279683,0.093997
LinearSVC,100,False,22000,0.4057088314167538,0.3970316622691293,0.9270033180309986,0.9182717678100264,0.101987
LinearSVC,100,False,23000,0.402373809834355,0.39696569920844327,0.9269596974044607,0.9184036939313984,0.108
LinearSVC,100,False,24000,0.40523311528686307,0.3970316622691293,0.9274196908462148,0.9186015831134564,0.126995
LinearSVC,100,False,25000,0.4080236790528379,0.3971635883905013,0.9278028878844846,0.9183377308707124,0.119998
LinearSVC,100,False,26000,0.4031383408330449,0.39729551451187334,0.9277720087688935,0.9186015831134564,0.122001
LinearSVC,100,False,27000,0.40628124884263545,0.39696569920844327,0.9273730602570275,0.9185356200527705,0.139016
LinearSVC,100,False,28000,0.40155708724688405,0.3971635883905013,0.927216885111246,0.9187994722955145,0.133
LinearSVC,100,False,29000,0.4004344677769732,0.39742744063324537,0.9269335540153788,0.9189313984168865,0.185862
LinearSVC,100,False,30000,0.40465317822739244,0.39729551451187334,0.9269357688077065,0.9186675461741425,0.144015
LinearSVC,100,False,31000,0.4048579078094255,0.3970976253298153,0.9266797845230799,0.9181398416886544,0.170003
