model_type,vectorizer_num_features,semi_supervised,samples,dummy_train_accuracy,dummy_test_accuracy,train_accuracy,test_accuracy,run_time
MultinomialNB,100,False,250,0.2151394422310757,0.1653693931398417,0.6374501992031872,0.4479551451187335,0.0
MultinomialNB,100,False,500,0.13572854291417166,0.15547493403693932,0.6327345309381237,0.5000659630606861,0.0
MultinomialNB,100,False,750,0.15046604527296936,0.16279683377308707,0.6125166444740346,0.5176781002638522,0.005197
MultinomialNB,100,False,1000,0.15384615384615385,0.15837730870712402,0.6193806193806194,0.5285620052770449,0.0
MultinomialNB,100,False,2000,0.14792603698150925,0.15844327176781003,0.5847076461769115,0.5489445910290237,0.015622
MultinomialNB,100,False,3000,0.1522825724758414,0.15382585751978892,0.5861379540153282,0.5551451187335092,0.015622
MultinomialNB,100,False,4000,0.14521369657585603,0.1521767810026385,0.5843539115221195,0.5568601583113456,0.015621
MultinomialNB,100,False,5000,0.15016996600679863,0.14940633245382587,0.5754849030193961,0.5569920844327176,0.015622
MultinomialNB,100,False,6000,0.15080819863356107,0.15560686015831135,0.5710714880853192,0.5571240105540897,0.015621
MultinomialNB,100,False,7000,0.15183545207827454,0.15567282321899736,0.5734895014997857,0.558311345646438,0.031243
MultinomialNB,100,False,8000,0.1424821897262842,0.15949868073878629,0.5720534933133359,0.5600263852242744,0.031242
MultinomialNB,100,False,9000,0.15442728585712698,0.15481530343007915,0.5718253527385846,0.5600923482849605,0.031242
MultinomialNB,100,False,10000,0.1521847815218478,0.15151715039577837,0.5725427457254274,0.5600923482849605,0.015624
MultinomialNB,100,False,11000,0.15234978638305607,0.15184696569920844,0.5718571038996455,0.5616094986807388,0.031241
MultinomialNB,100,False,12000,0.1524872927256062,0.15336411609498682,0.5684526289475877,0.5622031662269129,0.046863
MultinomialNB,100,False,13000,0.15152680563033613,0.15336411609498682,0.5674178909314668,0.5633245382585752,0.031243
MultinomialNB,100,False,14000,0.152131990572102,0.16022427440633247,0.567173773301907,0.5617414248021109,0.046862
MultinomialNB,100,False,15000,0.1512565828944737,0.154155672823219,0.565628958069462,0.5618073878627968,0.046863
MultinomialNB,100,False,16000,0.15636522717330167,0.1565963060686016,0.5659021311168052,0.5612137203166226,0.046868
MultinomialNB,100,False,17000,0.15416740191753425,0.14894459102902374,0.5670842891594612,0.5627968337730871,0.046864
MultinomialNB,100,False,18000,0.1533803677573468,0.15118733509234827,0.5658018998944503,0.5622031662269129,0.062488
MultinomialNB,100,False,19000,0.15493921372559338,0.1537598944591029,0.56554918162202,0.562401055408971,0.046864
MultinomialNB,100,False,20000,0.1535923203839808,0.15197889182058047,0.5663216839158042,0.5631926121372032,0.062485
MultinomialNB,100,False,21000,0.15132612732727013,0.1571240105540897,0.5658778153421266,0.5654353562005277,0.078107
MultinomialNB,100,False,22000,0.1499931821280851,0.1546174142480211,0.5662469887732375,0.5644459102902375,0.062486
MultinomialNB,100,False,23000,0.14942828572670752,0.15013192612137202,0.565410199556541,0.5648416886543536,0.062486
MultinomialNB,100,False,24000,0.14911878671722012,0.1532981530343008,0.5671847006374734,0.5654353562005277,0.062485
MultinomialNB,100,False,25000,0.14895404183832647,0.15732189973614777,0.5669373225070997,0.5662269129287599,0.078091
MultinomialNB,100,False,26000,0.15214799430791123,0.15197889182058047,0.567016653205646,0.5665567282321899,0.078107
MultinomialNB,100,False,27000,0.1491426243472464,0.1536939313984169,0.5659420021480686,0.5658970976253298,0.078107
MultinomialNB,100,False,28000,0.15188743259169316,0.14894459102902374,0.5667654726616906,0.5656992084432718,0.078106
MultinomialNB,100,False,29000,0.1537533188510741,0.1529023746701847,0.5653253336091859,0.5654353562005277,0.101681
MultinomialNB,100,False,30000,0.14796173460884637,0.1571240105540897,0.5638145395153494,0.5639182058047494,0.085721
MultinomialNB,100,False,31000,0.15360794813070547,0.1507915567282322,0.5638527789426148,0.5641160949868074,0.093729
MultinomialNB,100,False,32000,0.14649542201806193,0.15362796833773087,0.5634823911752758,0.5642480211081794,0.093728
MultinomialNB,100,False,33000,0.1499045483470198,0.1521767810026385,0.5640738159449714,0.5641160949868074,0.10935
MultinomialNB,100,False,34000,0.15096614805446898,0.15362796833773087,0.5644245757477722,0.5635224274406333,0.109348
MultinomialNB,100,False,35000,0.15310991114539585,0.15547493403693932,0.5646981514813862,0.5645778364116095,0.101491
MultinomialNB,100,False,36000,0.15330129718618926,0.15098944591029023,0.5640676647870893,0.5656332453825857,0.109341
MultinomialNB,100,False,37000,0.15169860274046648,0.1579815303430079,0.5644171779141104,0.5664248021108179,0.109349
MultinomialNB,100,False,38000,0.15104865661429961,0.15527704485488128,0.5649851319702113,0.5658970976253298,0.102604
MultinomialNB,100,False,39000,0.14812440706648547,0.15362796833773087,0.5644214250916643,0.5659630606860159,0.109353
MultinomialNB,100,False,40000,0.14944626384340393,0.15468337730870713,0.5644108897277568,0.5650395778364116,0.124961
MultinomialNB,100,False,41000,0.15131338260042437,0.15323218997361476,0.564693544059901,0.5658970976253298,0.124971
MultinomialNB,100,False,42000,0.1518773362538987,0.1524406332453826,0.5651294016809124,0.5658970976253298,0.140592
MultinomialNB,100,False,43000,0.15478709797446571,0.15270448548812665,0.565661263691542,0.5653693931398417,0.12496
MultinomialNB,100,False,44000,0.15092838799118202,0.15112137203166226,0.5666234858298675,0.5674802110817943,0.140597
MultinomialNB,100,False,45000,0.1535743650141108,0.15567282321899736,0.5665207439834671,0.5670184696569921,0.140598
MultinomialNB,100,False,46000,0.15123584269907175,0.15362796833773087,0.5663572531031934,0.5660290237467018,0.140592
MultinomialNB,100,False,47000,0.15259249803195676,0.1524406332453826,0.5667751749962767,0.5668865435356201,0.14832
MultinomialNB,100,False,48000,0.15487177350471865,0.1566622691292876,0.5658423782837858,0.5657651715039578,0.149549
MultinomialNB,100,False,49000,0.15464990510397747,0.15237467018469658,0.566253749923471,0.5675461741424802,0.156213
MultinomialNB,100,False,50000,0.15571688566228675,0.15441952506596307,0.5657286854262915,0.5674802110817943,0.156213
MultinomialNB,100,False,51000,0.15336954177369072,0.1524406332453826,0.5657143977569067,0.5673482849604221,0.17184
MultinomialNB,100,False,52000,0.1546316416991981,0.15494722955145118,0.5659698851945155,0.5672823218997362,0.156213
MultinomialNB,100,False,53000,0.15318578894737836,0.15303430079155672,0.5662345993471821,0.566952506596306,0.2187
MultinomialNB,100,False,53531,0.15462068707851526,0.15118733509234827,0.5665875847639685,0.5677440633245383,0.187465
LinearSVC,100,False,250,0.2151394422310757,0.1653693931398417,0.8884462151394422,0.4962401055408971,0.015631
LinearSVC,100,False,500,0.13572854291417166,0.15547493403693932,0.7924151696606786,0.5335751978891821,0.0
LinearSVC,100,False,750,0.15046604527296936,0.16279683377308707,0.7323568575233023,0.5531002638522428,0.0
LinearSVC,100,False,1000,0.15384615384615385,0.15837730870712402,0.7062937062937062,0.5679419525065963,0.0
LinearSVC,100,False,2000,0.14792603698150925,0.15844327176781003,0.6611694152923538,0.5845646437994723,0.015621
LinearSVC,100,False,3000,0.1522825724758414,0.15382585751978892,0.6394535154948351,0.5920844327176781,0.031243
LinearSVC,100,False,4000,0.14521369657585603,0.1521767810026385,0.6325918520369908,0.5968997361477573,0.062489
LinearSVC,100,False,5000,0.15016996600679863,0.14940633245382587,0.6276744651069786,0.5975593667546174,0.062485
LinearSVC,100,False,6000,0.15080819863356107,0.15560686015831135,0.6220629895017498,0.6013192612137204,0.09373
LinearSVC,100,False,7000,0.15183545207827454,0.15567282321899736,0.6183402371089844,0.6017150395778365,0.093728
LinearSVC,100,False,8000,0.1424821897262842,0.15949868073878629,0.6189226346706662,0.5996042216358839,0.10935
LinearSVC,100,False,9000,0.15442728585712698,0.15481530343007915,0.6193756249305633,0.5995382585751979,0.12497
LinearSVC,100,False,10000,0.1521847815218478,0.15151715039577837,0.6200379962003799,0.6020448548812665,0.156213
LinearSVC,100,False,11000,0.15234978638305607,0.15184696569920844,0.6186710299063721,0.6029683377308707,0.187456
LinearSVC,100,False,12000,0.1524872927256062,0.15336411609498682,0.6154487126072827,0.604089709762533,0.187456
LinearSVC,100,False,13000,0.15152680563033613,0.15336411609498682,0.6127990154603492,0.604221635883905,0.203074
LinearSVC,100,False,14000,0.152131990572102,0.16022427440633247,0.612956217413042,0.6037598944591029,0.23432
LinearSVC,100,False,15000,0.1512565828944737,0.154155672823219,0.6124258382774481,0.604287598944591,0.234319
LinearSVC,100,False,16000,0.15636522717330167,0.1565963060686016,0.6110868070745579,0.6046833773087071,0.249941
LinearSVC,100,False,17000,0.15416740191753425,0.14894459102902374,0.6124933827421917,0.6049472295514512,0.265567
LinearSVC,100,False,18000,0.1533803677573468,0.15118733509234827,0.6105771901561025,0.6062664907651715,0.312426
LinearSVC,100,False,19000,0.15493921372559338,0.1537598944591029,0.6103889268985843,0.6052110817941952,0.335668
LinearSVC,100,False,20000,0.1535923203839808,0.15197889182058047,0.6106694665266736,0.6052770448548813,0.335491
LinearSVC,100,False,21000,0.15132612732727013,0.1571240105540897,0.6124946431122328,0.6056068601583113,0.351322
LinearSVC,100,False,22000,0.1499931821280851,0.1546174142480211,0.6107449661379029,0.6057387862796834,0.35929
LinearSVC,100,False,23000,0.14942828572670752,0.15013192612137202,0.610451719490457,0.6069920844327177,0.41386
LinearSVC,100,False,24000,0.14911878671722012,0.1532981530343008,0.6106828882129911,0.6068601583113457,0.39054
LinearSVC,100,False,25000,0.14895404183832647,0.15732189973614777,0.609335626574937,0.6063324538258575,0.406154
LinearSVC,100,False,26000,0.15214799430791123,0.15197889182058047,0.608361216876274,0.6062664907651715,0.421781
LinearSVC,100,False,27000,0.1491426243472464,0.1536939313984169,0.6075700899966668,0.6052770448548813,0.437396
LinearSVC,100,False,28000,0.15188743259169316,0.14894459102902374,0.60779972143852,0.6050131926121372,0.4608
LinearSVC,100,False,29000,0.1537533188510741,0.1529023746701847,0.6078755904968794,0.6062664907651715,0.523159
LinearSVC,100,False,30000,0.14796173460884637,0.1571240105540897,0.6071464284523849,0.6061345646437994,0.546735
LinearSVC,100,False,31000,0.15360794813070547,0.1507915567282322,0.6058836811715751,0.6056728232189974,0.538788
LinearSVC,100,False,32000,0.14649542201806193,0.15362796833773087,0.6056685728570982,0.6056728232189974,0.562367
LinearSVC,100,False,33000,0.1499045483470198,0.1521767810026385,0.6058907305839217,0.6065303430079155,0.546738
LinearSVC,100,False,34000,0.15096614805446898,0.15362796833773087,0.6061586423928708,0.6065963060686016,0.609107
LinearSVC,100,False,35000,0.15310991114539585,0.15547493403693932,0.6057541213108197,0.6057387862796834,0.577996
LinearSVC,100,False,36000,0.15330129718618926,0.15098944591029023,0.6052887419793894,0.6058707124010554,0.609231
LinearSVC,100,False,37000,0.15169860274046648,0.1579815303430079,0.605632280208643,0.6052770448548813,0.656094
LinearSVC,100,False,38000,0.15104865661429961,0.15527704485488128,0.6059314228572932,0.6063324538258575,0.671719
LinearSVC,100,False,39000,0.14812440706648547,0.15362796833773087,0.6058049793595036,0.6058707124010554,0.68703
LinearSVC,100,False,40000,0.14944626384340393,0.15468337730870713,0.6055348616284593,0.6063984168865435,0.71858
LinearSVC,100,False,41000,0.15131338260042437,0.15323218997361476,0.606009609521719,0.6063324538258575,0.997784
LinearSVC,100,False,42000,0.1518773362538987,0.1524406332453826,0.6056046284612271,0.6060686015831135,1.48976
LinearSVC,100,False,43000,0.15478709797446571,0.15270448548812665,0.6066370549522104,0.6065963060686016,1.160074
LinearSVC,100,False,44000,0.15092838799118202,0.15112137203166226,0.6069634781027704,0.6063324538258575,1.036804
LinearSVC,100,False,45000,0.1535743650141108,0.15567282321899736,0.6071198417812937,0.6067282321899736,0.851206
LinearSVC,100,False,46000,0.15123584269907175,0.15362796833773087,0.6065302928197213,0.6069261213720316,0.85602
LinearSVC,100,False,47000,0.15259249803195676,0.1524406332453826,0.6057317929405758,0.6066622691292876,0.882391
LinearSVC,100,False,48000,0.15487177350471865,0.1566622691292876,0.6054457198808358,0.6077836411609499,1.257073
LinearSVC,100,False,49000,0.15464990510397747,0.15237467018469658,0.6055182547294953,0.6075197889182058,1.852731
LinearSVC,100,False,50000,0.15571688566228675,0.15441952506596307,0.6043079138417232,0.6068601583113457,1.311351
LinearSVC,100,False,51000,0.15336954177369072,0.1524406332453826,0.6040469794709907,0.6068601583113457,1.281016
LinearSVC,100,False,52000,0.1546316416991981,0.15494722955145118,0.6050460568065998,0.6072559366754617,1.088081
LinearSVC,100,False,53000,0.15318578894737836,0.15303430079155672,0.6047055715929888,0.6065963060686016,1.933222
LinearSVC,100,False,53531,0.15462068707851526,0.15118733509234827,0.6046963441744037,0.6067941952506596,1.153656
